date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:24:39	38842/38842	---MCZ	200	added ('OK')	text/html	date:Fri,%2014%20Mar%202025%2019:24:39%20GMT	https://screenprank.com/windows-7/	C:/Users/Jason/Downloads/trololol/screenprank.com/windows-7/index.html	(from )
12:24:39	23/23	---M--	200	added ('OK')	text/plain	etag:%224c17b5bc571cafcb56cb7fe5e9d8ee40%22	https://screenprank.com/robots.txt		(from )
12:24:40	69278/69278	---MCZ	200	added ('OK')	text/css	etag:W/%22dfef5c913240592b5909fec0debad3fb%22	https://screenprank.com/windows-7/core.min.css	C:/Users/Jason/Downloads/trololol/screenprank.com/windows-7/core.min.css	(from https://screenprank.com/windows-7/)
12:24:40	609769/609769	---MCZ	200	added ('OK')	application/javascript	etag:W/%22002f257c2649f767183390ba51c8601b%22	https://screenprank.com/windows-7/main.js	C:/Users/Jason/Downloads/trololol/screenprank.com/windows-7/main.js	(from https://screenprank.com/windows-7/)
12:24:40	352601/352601	---M--	200	added ('OK')	video/mp4	etag:%22759c1d33ef434a830e8b20a5d47ce2fa%22	https://screenprank.com/windows-7/resources/boot.mp4	C:/Users/Jason/Downloads/trololol/screenprank.com/windows-7/resources/boot.mp4	(from https://screenprank.com/windows-7/)
12:24:40	3212/3212	---M--	200	added ('OK')	image/webp	etag:%22e95d6028c400e0ecbb36462ec683c86d%22	https://screenprank.com/windows-7/resources/acc/user.webp	C:/Users/Jason/Downloads/trololol/screenprank.com/windows-7/resources/acc/user.webp	(from https://screenprank.com/windows-7/)
12:24:41	0/0	---M--	308	error ('Permanent%20Redirect')	text/html	date:Fri,%2014%20Mar%202025%2019:24:41%20GMT	https://screenprank.com/windows-7/about.html	C:/Users/Jason/Downloads/trololol/screenprank.com/windows-7/about.html	(from https://screenprank.com/windows-7/)
12:24:41	2510/2510	---MCZ	200	added ('OK')	text/html	date:Fri,%2014%20Mar%202025%2019:24:41%20GMT	https://screenprank.com/windows-7/about	C:/Users/Jason/Downloads/trololol/screenprank.com/windows-7/about.html	(from https://screenprank.com/windows-7/)
12:24:41	79838/79838	---M--	200	added ('OK')	audio/ogg	etag:%226fdc601f21c3682cf6abe78b70640a96%22	https://screenprank.com/windows-7/resources/sound/Windows7-startup-sound.ogg	C:/Users/Jason/Downloads/trololol/screenprank.com/windows-7/resources/sound/Windows7-startup-sound.ogg	(from https://screenprank.com/windows-7/)
12:24:41	12332/12332	---MCZ	200	added ('OK')	application/javascript	etag:W/%2267d07d14-302c%22	https://screenprank.com/cdn-cgi/scripts/7d0fa10a/cloudflare-static/rocket-loader.min.js	C:/Users/Jason/Downloads/trololol/screenprank.com/cdn-cgi/scripts/7d0fa10a/cloudflare-static/rocket-loader.min.js	(from https://screenprank.com/windows-7/)
12:24:42	0/0	---M--	302	error ('Found')	text/html	date:Fri,%2014%20Mar%202025%2019:24:41%20GMT	https://screenprank.com/cdn-cgi/challenge-platform/scripts/jsd/main.js	C:/Users/Jason/Downloads/trololol/screenprank.com/cdn-cgi/challenge-platform/scripts/jsd/main.js	(from https://screenprank.com/windows-7/)
12:24:42	8505/8505	---MCZ	200	added ('OK')	application/javascript	date:Fri,%2014%20Mar%202025%2019:24:42%20GMT	https://screenprank.com/cdn-cgi/challenge-platform/h/g/scripts/jsd/f3b948d8acb8/main.js?	C:/Users/Jason/Downloads/trololol/screenprank.com/cdn-cgi/challenge-platform/h/g/scripts/jsd/f3b948d8acb8/maind41d.js	(from https://screenprank.com/windows-7/)
12:24:42	37436/37436	---M--	200	added ('OK')	image/webp	etag:%22dfcef634757385c2cc1b94b803210530%22	https://screenprank.com/windows-7/resources/ico/ie.webp	C:/Users/Jason/Downloads/trololol/screenprank.com/windows-7/resources/ico/ie.webp	(from https://screenprank.com/windows-7/core.min.css)
12:24:42	43096/43096	---M--	200	added ('OK')	image/webp	etag:%2298f4d44f62ee5010da112109924209b8%22	https://screenprank.com/windows-7/resources/ico/installer.webp	C:/Users/Jason/Downloads/trololol/screenprank.com/windows-7/resources/ico/installer.webp	(from https://screenprank.com/windows-7/core.min.css)
12:24:43	9848/9848	---M--	200	added ('OK')	image/webp	etag:%222f15498c4e51a508a5a062945f60d629%22	https://screenprank.com/windows-7/resources/ico/calculator.webp	C:/Users/Jason/Downloads/trololol/screenprank.com/windows-7/resources/ico/calculator.webp	(from https://screenprank.com/windows-7/core.min.css)
12:24:43	34728/34728	---M--	200	added ('OK')	image/webp	etag:%2207867e03853d43703df21bfd0621506d%22	https://screenprank.com/windows-7/resources/ico/paint.webp	C:/Users/Jason/Downloads/trololol/screenprank.com/windows-7/resources/ico/paint.webp	(from https://screenprank.com/windows-7/core.min.css)
